;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value;repos
6;2020-10-31;20:45;Serie A;Matchweek 6;Sat;Home;W;3;2;Cagliari;1.1;1.2;52.0;;Rodrigo Palacio;4-2-3-1;Michael Fabbri;Match Report;;Bologna;2020-10-3120:45Serie AMatchweek 6HomeWCagliariBologna;22.0;9.0;20.6;2.0;0;485.0;78.1;3;0;0;11.0;2.0;11.0;23.7;€186.20m;4
7;2020-11-08;18:00;Serie A;Matchweek 7;Sun;Home;L;0;1;Napoli;0.7;1.4;48.0;;Rodrigo Palacio;4-2-3-1;Fabrizio Pasqua;Match Report;;Bologna;2020-11-0818:00Serie AMatchweek 7HomeLNapoliBologna;9.0;3.0;20.9;0.0;0;494.0;78.5;3;0;0;12.0;6.0;14.0;23.7;€186.20m;8
8;2020-11-22;15:00;Serie A;Matchweek 8;Sun;Away;W;2;1;Sampdoria;1.6;0.9;55.0;;Rodrigo Palacio;4-1-4-1;Livio Marinelli;Match Report;;Bologna;2020-11-2215:00Serie AMatchweek 8AwayWSampdoriaBologna;11.0;3.0;17.1;0.0;0;555.0;77.8;2;0;0;9.0;5.0;20.0;23.7;€186.20m;14
9;2020-11-25;17:30;Coppa Italia;Fourth round;Wed;Home;L;2;4;Spezia;;;33.0;;;;Manuel Volpi;Match Report;Required Extra Time;Bologna;2020-11-2517:30Coppa ItaliaFourth roundHomeLSpeziaBologna;2.0;2.0;;;0;;;4;0;0;0.0;0.0;0.0;23.7;€186.20m;3
10;2020-11-29;15:00;Serie A;Matchweek 9;Sun;Home;W;1;0;Crotone;1.8;0.4;51.0;;Rodrigo Palacio;4-2-3-1;Marco Serra;Match Report;;Bologna;2020-11-2915:00Serie AMatchweek 9HomeWCrotoneBologna;14.0;7.0;13.7;0.0;0;454.0;74.2;2;0;0;15.0;4.0;12.0;23.7;€186.20m;4
11;2020-12-05;20:45;Serie A;Matchweek 10;Sat;Away;L;1;3;Inter;1.4;2.0;54.0;;Rodrigo Palacio;3-4-3;Paolo Valeri;Match Report;;Bologna;2020-12-0520:45Serie AMatchweek 10AwayLInterBologna;14.0;7.0;20.0;2.0;0;605.0;85.6;2;0;0;13.0;0.0;8.0;23.7;€186.20m;6
12;2020-12-13;15:00;Serie A;Matchweek 11;Sun;Home;L;1;5;Roma;0.4;3.1;54.0;;Rodrigo Palacio;4-2-3-1;Giampaolo Calvarese;Match Report;;Bologna;2020-12-1315:00Serie AMatchweek 11HomeLRomaBologna;7.0;1.0;17.2;1.0;0;513.0;81.9;4;0;0;14.0;7.0;15.0;23.7;€186.20m;8
13;2020-12-16;20:45;Serie A;Matchweek 12;Wed;Away;D;2;2;Spezia;1.4;2.5;55.0;;Rodrigo Palacio;4-2-3-1;Piero Giacomelli;Match Report;;Bologna;2020-12-1620:45Serie AMatchweek 12AwayDSpeziaBologna;9.0;5.0;19.7;1.0;0;498.0;73.7;1;0;0;11.0;4.0;20.0;23.7;€186.20m;3
14;2020-12-20;12:30;Serie A;Matchweek 13;Sun;Away;D;1;1;Torino;1.9;1.2;49.0;;Rodrigo Palacio;4-2-3-1;Fabrizio Pasqua;Match Report;;Bologna;2020-12-2012:30Serie AMatchweek 13AwayDTorinoBologna;16.0;6.0;17.7;0.0;0;438.0;78.1;3;0;0;17.0;2.0;10.0;23.7;€186.20m;4
15;2020-12-23;20:45;Serie A;Matchweek 14;Wed;Home;D;2;2;Atalanta;1.0;1.4;47.0;;Rodrigo Palacio;4-2-3-1;Daniele Chiffi;Match Report;;Bologna;2020-12-2320:45Serie AMatchweek 14HomeDAtalantaBologna;9.0;3.0;17.2;1.0;0;532.0;80.6;2;0;0;12.0;0.0;13.0;23.7;€186.20m;3
16;2021-01-03;15:00;Serie A;Matchweek 15;Sun;Away;D;0;0;Fiorentina;0.8;0.5;53.0;;Rodrigo Palacio;4-2-3-1;Daniele Orsato;Match Report;;Bologna;2021-01-0315:00Serie AMatchweek 15AwayDFiorentinaBologna;7.0;3.0;17.0;0.0;0;534.0;84.6;3;0;0;11.0;1.0;4.0;23.7;€186.20m;11
17;2021-01-06;15:00;Serie A;Matchweek 16;Wed;Home;D;2;2;Udinese;1.2;2.1;37.0;;Rodrigo Palacio;4-2-3-1;Giovanni Ayroldi;Match Report;;Bologna;2021-01-0615:00Serie AMatchweek 16HomeDUdineseBologna;10.0;6.0;19.9;1.0;0;344.0;78.2;4;1;1;16.0;1.0;8.0;23.7;€186.20m;3
18;2021-01-09;18:00;Serie A;Matchweek 17;Sat;Away;L;0;2;Genoa;0.9;1.3;64.0;;Rodrigo Palacio;4-2-3-1;Daniele Doveri;Match Report;;Bologna;2021-01-0918:00Serie AMatchweek 17AwayLGenoaBologna;14.0;3.0;24.7;2.0;0;648.0;81.0;0;0;0;9.0;1.0;12.0;23.7;€186.20m;3
19;2021-01-16;15:00;Serie A;Matchweek 18;Sat;Home;W;1;0;Hellas Verona;2.0;0.8;48.0;;Danilo Larangeira;4-2-3-1;Maurizio Mariani;Match Report;;Bologna;2021-01-1615:00Serie AMatchweek 18HomeWHellas VeronaBologna;19.0;4.0;17.1;0.0;1;478.0;72.2;2;0;0;15.0;1.0;14.0;23.7;€186.20m;7
20;2021-01-24;12:30;Serie A;Matchweek 19;Sun;Away;L;0;2;Juventus;0.5;3.0;47.0;;Danilo Larangeira;4-2-3-1;Juan Sacchi;Match Report;;Bologna;2021-01-2412:30Serie AMatchweek 19AwayLJuventusBologna;11.0;2.0;19.3;1.0;0;465.0;83.4;2;0;0;17.0;0.0;11.0;23.7;€186.20m;8
