;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;n_form;Penalty;Rouge;periode;nb_def
67;2021-01-06;L;0;0;Away;0;55.0;25.4;3-5-2;4.0;14.4;82.7;12.0;11.0;61.31999999999999;3;1;3-5-2;Fiorentina;reste;11.0;1;1;0;322;1;0;2021-01;3
69;2021-01-17;L;0;0;Away;0;52.0;25.4;3-4-3;1.0;15.6;83.9;7.0;15.0;-151.43;4;1;4-5-1;Fiorentina;reste;11.0;0;0;0;327;0;0;2021-01;3
70;2021-01-29;D;0;1;Away;0;48.0;25.4;3-5-2;1.0;17.0;77.1;13.0;15.0;102.4;6;1;3-5-2;Fiorentina;reste;8.0;0;2;2;322;0;1;2021-01;3
71;2021-02-14;L;0;0;Away;0;51.0;25.4;3-5-2;6.0;18.4;69.7;15.0;12.0;197.25;9;2;4-5-1;Fiorentina;reste;16.0;0;3;0;327;0;0;2021-02;3
72;2021-02-19;W;1;1;Home;1;38.0;25.4;3-5-2;5.0;11.6;73.2;18.0;20.0;247.3;5;2;4-3-3;Fiorentina;reste;10.0;0;4;0;207;0;0;2021-02;3
73;2021-02-28;L;0;0;Away;0;54.0;25.4;3-5-2;2.0;19.3;78.2;8.0;20.0;183.5;9;2;3-5-2;Fiorentina;reste;8.0;0;2;0;322;0;0;2021-02;3
74;2021-03-03;L;0;0;Home;1;41.0;25.4;3-5-2;2.0;18.6;73.1;13.0;9.0;-55.44999999999999;3;3;3-4-3;Fiorentina;reste;7.0;0;1;0;155;0;0;2021-03;3
75;2021-03-21;L;0;0;Home;1;40.0;25.4;4-4-2;2.0;20.4;74.9;10.0;6.0;-221.15000000000003;8;3;4-5-1;Fiorentina;reste;7.0;0;1;0;327;0;0;2021-03;4
76;2021-04-03;D;0;1;Away;0;44.0;25.4;3-5-2;3.0;19.7;80.5;12.0;10.0;204.52;13;4;3-5-2;Fiorentina;reste;10.0;0;1;1;322;0;1;2021-04;3
77;2021-04-11;L;0;0;Home;1;40.0;25.4;3-5-2;2.0;16.9;75.0;14.0;15.0;-72.94999999999997;8;4;3-5-2;Fiorentina;reste;10.0;0;3;0;322;0;0;2021-04;3
78;2021-04-17;L;0;0;Away;0;29.0;25.4;3-5-2;5.0;17.0;68.2;10.0;16.0;74.80000000000003;6;4;4-5-1;Fiorentina;reste;7.0;0;5;0;327;0;0;2021-04;3
79;2021-04-25;D;0;1;Home;1;33.0;25.4;3-5-2;3.0;21.6;70.2;10.0;13.0;-316.7;5;4;3-5-2;Fiorentina;reste;11.0;1;3;0;322;1;0;2021-04;3
80;2021-05-02;D;0;1;Away;0;38.0;25.4;3-5-2;2.0;18.7;71.9;7.0;12.0;139.60000000000002;7;5;3-4-3;Fiorentina;reste;8.0;1;2;0;155;1;0;2021-05;3
