;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
60;2020-11-25;L;0;0;Home;1;33.0;24,1;<NA>-<NA>-<NA>;2.0;;;0.0;0.0;81.91999999999999;3;11;<NA>-<NA>-<NA>;Bologna;automne;2.0;0;4;0;7.0;4.0;;0.0;Spezia;;
61;2020-11-29;W;1;1;Home;1;51.0;24,1;4-5-1;7.0;13.7;74.2;12.0;15.0;100.85;4;11;3-5-2;Bologna;automne;14.0;0;2;0;4.0;8.0;0.0;18.0;Crotone;336.86800000000005;454.0
62;2020-12-05;L;0;0;Away;0;54.0;24,1;3-4-3;7.0;20.0;85.6;8.0;13.0;-510.29999999999995;6;12;3-5-2;Bologna;reste;14.0;0;2;0;1.0;14.0;1.0;12.0;Internazionale;517.88;605.0
63;2020-12-13;L;0;0;Home;1;54.0;24,1;4-5-1;1.0;17.2;81.9;15.0;14.0;-242.04999999999998;8;12;3-4-3;Bologna;reste;7.0;0;4;0;2.0;15.0;0.0;9.0;Roma;420.14700000000005;513.0
64;2020-12-16;D;0;1;Away;0;55.0;24,1;4-5-1;5.0;19.7;73.7;20.0;11.0;81.91999999999999;3;12;4-3-3;Bologna;reste;9.0;0;1;0;6.0;10.0;0.0;19.0;Spezia;367.026;498.0
65;2020-12-20;D;0;1;Away;0;49.0;24,1;4-5-1;6.0;17.7;78.1;10.0;17.0;-21.680000000000007;4;12;4-4-2;Bologna;reste;16.0;0;3;0;1.0;14.0;1.0;14.0;Torino;342.078;438.0
66;2020-12-23;D;0;1;Home;1;47.0;24,1;4-5-1;3.0;17.2;80.6;13.0;12.0;-276.4;3;12;3-5-2;Bologna;reste;9.0;0;2;0;2.0;11.0;1.0;14.0;Atalanta;428.792;532.0
67;2021-01-03;D;0;1;Away;0;53.0;24,1;4-5-1;3.0;17.0;84.6;4.0;11.0;-133.20000000000002;11;1;3-5-2;Bologna;reste;7.0;0;3;0;4.0;9.0;0.0;8.0;Fiorentina;451.76399999999995;534.0
68;2021-01-06;D;0;1;Home;1;37.0;24,1;4-5-1;6.0;19.9;78.2;8.0;16.0;-19.400000000000006;3;1;3-5-2;Bologna;reste;10.0;0;4;1;3.0;17.0;1.0;13.0;Udinese;269.008;344.0
69;2021-01-09;L;0;0;Away;0;64.0;24,1;4-5-1;3.0;24.7;81.0;12.0;9.0;41.66999999999999;3;1;3-5-2;Bologna;reste;14.0;0;0;0;2.0;10.0;0.0;11.0;Genoa;524.88;648.0
