;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
59;Leonardo Bonucci;DF;Juventus;33;26.0;23;2028.0;22.5;2.0;0.0;4.0;0.0;52ec54d0;Leonardo BonucciDFJuventus;16;3;18.8;1363.0;1518.0;89.8;10.0;19.0;14;42.9;24.0;13.0;11.0;33;52.0;67.0;0.0;80.0;5.0;2.0;21;3;5;64.2;;;;;
60;Mehdi Bourabia;MF;Sassuolo;28;15.0;4;528.0;5.9;1.0;0.0;2.0;0.0;0d077b88;Mehdi BourabiaMFSassuolo;9;3;33.3;302.0;363.0;83.2;8.0;6.0;5;28.6;14.0;6.0;8.0;12;18.0;8.0;0.0;53.3;9.0;4.0;15;0;5;73.7;;;;;
61;Edoardo Bove;DM;Roma;18;1.0;0;11.0;0.1;0.0;0.0;0.0;0.0;ae94a6c5;Edoardo BoveMFRoma;0;0;;11.0;11.0;100.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;100.0;;;;Edoardo Bove;1.0
62;Jayden Braaf;FW;Udinese;17;4.0;1;116.0;1.3;1.0;0.0;0.0;0.0;c609e90e;Jayden BraafFWUdinese;2;2;100.0;20.0;28.0;71.4;4.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;80.0;6.0;1.0;2;0;1;0.0;;;;;
63;Gleison Bremer;DF;Torino;23;33.0;33;2935.0;32.6;5.0;0.0;2.0;0.0;5fd5ed86;Gleison BremerDFTorino;26;9;34.6;1371.0;1664.0;82.4;24.0;51.0;34;58.3;54.0;21.0;33.0;70;121.0;142.0;1.0;50.0;24.0;8.0;30;0;2;59.6;;;;;
64;Marcelo Brozović;MF;Internazionale;27;33.0;29;2581.0;28.7;2.0;6.0;9.0;1.0;33b8d077;Marcelo BrozovićMFInter;25;4;16.0;2012.0;2297.0;87.6;98.0;54.0;29;32.8;43.0;17.0;26.0;40;94.0;38.0;0.0;83.3;26.0;17.0;34;0;86;42.9;;;;;
65;Gastón Brugman;MF;Parma;27;26.0;21;1616.0;18.0;1.0;1.0;7.0;0.0;e947ee4a;Gastón BrugmanMFParma;18;8;44.4;925.0;1099.0;84.2;57.0;35.0;19;25.0;33.0;4.0;29.0;45;80.0;34.0;0.0;84.2;20.0;9.0;27;1;56;50.0;;;;;
66;Juan Brunetta;MF;Parma;23;12.0;4;475.0;5.3;1.0;2.0;3.0;0.0;d60099bc;Juan BrunettaFWMFParma;10;5;50.0;153.0;191.0;80.1;16.0;2.0;2;16.7;5.0;0.0;5.0;1;3.0;2.0;0.0;52.0;17.0;8.0;11;1;24;33.3;;;;;
67;Gianluigi Buffon;GK;Juventus;42;8.0;8;720.0;8.0;0.0;0.0;0.0;0.0;e40d028b;Gianluigi BuffonGKJuventus;0;0;;259.0;307.0;84.4;2.0;0.0;0;;0.0;0.0;0.0;0;0.0;3.0;1.0;;0.0;0.0;0;0;0;;85.7;37.5;0.8;;
68;Alessandro Buongiorno;DF;Torino;21;12.0;9;858.0;9.5;0.0;0.0;4.0;0.0;4ae67f27;Alessandro BuongiornoDFTorino;3;0;0.0;362.0;436.0;83.0;2.0;12.0;5;58.3;15.0;9.0;6.0;11;23.0;44.0;1.0;100.0;13.0;2.0;17;1;1;68.8;;;;;
69;Maxime Busi;DF;Parma;20;24.0;11;1195.0;13.3;0.0;1.0;3.0;0.0;7b082ec2;Maxime BusiDFParma;8;2;25.0;652.0;786.0;83.0;22.0;23.0;13;39.3;14.0;1.0;13.0;16;39.0;32.0;0.0;42.9;21.0;5.0;23;1;32;26.5;;;;;
70;Martín Cáceres;DF;Fiorentina;33;29.0;26;2238.0;24.9;2.0;2.0;4.0;0.0;e94d79e3;Martín CáceresDFFiorentina;15;6;40.0;818.0;1056.0;77.5;22.0;28.0;12;42.9;20.0;14.0;6.0;14;42.0;52.0;1.0;37.5;14.0;10.0;19;0;45;51.0;;;;;
71;Felipe Caicedo;FW;Lazio;31;25.0;9;929.0;10.3;8.0;0.0;5.0;0.0;93b891d1;Felipe CaicedoFWLazio;30;11;36.7;185.0;261.0;70.9;28.0;10.0;7;12.5;7.0;0.0;7.0;4;14.0;2.0;0.0;47.4;27.0;6.0;25;8;0;52.0;;;;;
72;Arturo Calabresi;MF;Bologna;24;1.0;0;20.0;0.2;0.0;0.0;0.0;0.0;34bb6fbd;Arturo CalabresiDFFWBologna;0;0;;3.0;5.0;60.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;2.0;0.0;;0.0;0.0;0;0;0;0.0;;;;;
73;Arturo Calabresi;DF;Cagliari;24;2.0;0;14.0;0.2;0.0;0.0;0.0;0.0;34bb6fbd;Arturo CalabresiDFCagliari;0;0;;15.0;20.0;75.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;100.0;0.0;0.0;0;0;1;100.0;;;;;
74;Davide Calabria;DF;Milan;23;32.0;30;2647.0;29.4;2.0;1.0;7.0;0.0;2146785a;Davide CalabriaDFMilan;24;7;29.2;1384.0;1792.0;77.2;55.0;101.0;64;60.0;42.0;9.0;33.0;37;138.0;82.0;1.0;57.1;29.0;14.0;31;3;69;49.1;;;;;
75;Riccardo Calafiori;DF;Roma;18;3.0;1;66.0;0.7;0.0;0.0;2.0;0.0;aded8e6f;Riccardo CalafioriDFRoma;0;0;;35.0;45.0;77.8;0.0;1.0;0;25.0;1.0;0.0;1.0;0;1.0;0.0;0.0;0.0;2.0;1.0;6;0;0;66.7;;;;;
76;Mattia Caldara;DF;Atalanta;26;6.0;1;111.0;1.2;0.0;0.0;1.0;0.0;ac7e640b;Mattia CaldaraDFAtalanta;2;0;0.0;52.0;59.0;88.1;1.0;1.0;0;100.0;3.0;2.0;1.0;4;5.0;3.0;0.0;;1.0;1.0;3;0;1;54.5;;;;;
77;Luca Caldirola;DF;Benevento;29;25.0;17;1572.0;17.5;2.0;0.0;6.0;1.0;226008f1;Luca CaldirolaDFBenevento;7;3;42.9;681.0;806.0;84.5;7.0;21.0;13;45.5;20.0;15.0;5.0;20;41.0;56.0;0.0;;3.0;3.0;20;1;3;51.0;;;;;
78;Hakan Çalhanoğlu;MF;Milan;26;33.0;30;2614.0;29.0;4.0;9.0;4.0;0.0;cd0fa27b;Hakan ÇalhanoğluMFFWMilan;82;22;26.8;1240.0;1614.0;76.8;176.0;26.0;7;25.0;21.0;6.0;15.0;15;41.0;24.0;1.0;61.0;76.0;35.0;29;4;221;34.7;;;;;
