;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;FDD;FDA
108;2021-01-06;L;0;0;Away;0;55.0;25.4;3-5-2;4.0;14.4;82.7;12.0;11.0;61.31999999999999;3;1;3-5-2;Fiorentina;reste;11.0;1;1;0;3.0;13.0;1.0;11.0;-1.5769230769230769;1.605218403150734
109;2021-01-10;W;1;1;Home;1;52.0;25.4;3-4-3;4.0;17.0;77.3;12.0;15.0;191.27;4;1;4-<NA>-<NA>;Fiorentina;reste;14.0;0;1;0;3.0;8.0;0.0;14.0;-0.5144230769230769;1.794933762978876
111;2021-01-17;L;0;0;Away;0;52.0;25.4;3-4-3;1.0;15.6;83.9;7.0;15.0;-151.43;4;1;4-5-1;Fiorentina;reste;11.0;0;0;0;1.0;9.0;1.0;11.0;-1.9615384615384617;1.4913623344074476
113;2021-01-29;D;0;1;Away;0;48.0;25.4;3-5-2;1.0;17.0;77.1;13.0;15.0;102.4;6;1;3-5-2;Fiorentina;reste;8.0;0;2;2;2.0;15.0;2.0;20.0;-2.875;1.7247583243823845
114;2021-02-05;L;0;0;Home;1;45.0;25.4;5-3-2;3.0;19.4;83.7;7.0;9.0;-232.74999999999997;7;2;3-5-2;Fiorentina;reste;15.0;0;3;0;1.0;14.0;0.0;10.0;-0.8990384615384616;1.3621777658431797
115;2021-02-14;L;0;0;Away;0;51.0;25.4;3-5-2;6.0;18.4;69.7;15.0;12.0;197.25;9;2;4-5-1;Fiorentina;reste;16.0;0;3;0;1.0;8.0;0.0;14.0;-0.09615384615384626;1.830961331901182
116;2021-02-19;W;1;1;Home;1;38.0;25.4;3-5-2;5.0;11.6;73.2;18.0;20.0;247.3;5;2;4-3-3;Fiorentina;reste;10.0;0;4;0;0.0;10.0;0.0;11.0;-0.4903846153846154;1.387329931972789
117;2021-02-28;L;0;0;Away;0;54.0;25.4;3-5-2;2.0;19.3;78.2;8.0;20.0;183.5;9;2;3-5-2;Fiorentina;reste;8.0;0;2;0;1.0;9.0;0.0;12.0;-1.1971153846153846;1.212674543501611
118;2021-03-03;L;0;0;Home;1;41.0;25.4;3-5-2;2.0;18.6;73.1;13.0;9.0;-55.44999999999999;3;3;3-4-3;Fiorentina;reste;7.0;0;1;0;2.0;12.0;0.0;15.0;-0.3125;1.1453186537773004
121;2021-03-21;L;0;0;Home;1;40.0;25.4;4-4-2;2.0;20.4;74.9;10.0;6.0;-221.15000000000003;8;3;4-5-1;Fiorentina;reste;7.0;0;1;0;3.0;13.0;0.0;11.0;-0.4182692307692307;0.7859380594343002
122;2021-04-03;D;0;1;Away;0;44.0;25.4;3-5-2;3.0;19.7;80.5;12.0;10.0;204.52;13;4;3-5-2;Fiorentina;reste;10.0;0;1;1;2.0;8.0;0.0;17.0;-0.20192307692307687;1.4543277837450768
123;2021-04-11;L;0;0;Home;1;40.0;25.4;3-5-2;2.0;16.9;75.0;14.0;15.0;-72.94999999999997;8;4;3-5-2;Fiorentina;reste;10.0;0;3;0;1.0;14.0;3.0;13.0;-3.7355769230769234;1.2770094880057288
124;2021-04-17;L;0;0;Away;0;29.0;25.4;3-5-2;5.0;17.0;68.2;10.0;16.0;74.80000000000003;6;4;4-5-1;Fiorentina;reste;7.0;0;5;0;3.0;9.0;3.0;8.0;-3.793269230769231;0.5789249910490513
125;2021-04-20;W;1;1;Away;0;36.0;25.4;3-5-2;3.0;18.6;70.5;14.0;19.0;162.82000000000005;3;4;3-4-3;Fiorentina;reste;5.0;1;3;0;2.0;9.0;0.0;16.0;-0.6730769230769231;0.9950993555316863
126;2021-04-25;D;0;1;Home;1;33.0;25.4;3-5-2;3.0;21.6;70.2;10.0;13.0;-316.7;5;4;3-5-2;Fiorentina;reste;11.0;1;3;0;1.0;9.0;0.0;16.0;-0.6057692307692307;1.1644065520945222
127;2021-05-02;D;0;1;Away;0;38.0;25.4;3-5-2;2.0;18.7;71.9;7.0;12.0;139.60000000000002;7;5;3-4-3;Fiorentina;reste;8.0;1;2;0;2.0;12.0;1.0;16.0;-1.9615384615384617;1.2125850340136055
128;2021-05-08;W;1;1;Home;1;30.0;25.4;3-5-2;4.0;13.1;70.3;8.0;12.0;61.31999999999999;6;5;3-5-2;Fiorentina;reste;9.0;0;4;0;9.0;11.0;0.0;14.0;-0.8221153846153846;1.2954484425349087
129;2021-05-12;D;0;1;Away;0;44.0;25.4;3-5-2;0.0;16.4;79.1;8.0;10.0;191.27;4;5;4-5-1;Fiorentina;reste;2.0;0;2;0;1.0;8.0;0.0;18.0;-0.5096153846153846;1.1851951306838524
130;2021-05-16;L;0;0;Home;1;41.0;25.4;3-5-2;3.0;15.4;80.1;5.0;15.0;-151.43;4;5;4-5-1;Fiorentina;reste;7.0;0;5;1;2.0;20.0;2.0;9.0;-3.8028846153846154;0.9335839598997494
132;2020-09-19;W;1;1;Home;1;40.0;24.7;3-4-3;3.0;17.9;67.2;17.0;19.0;-218.27;10;9;3-4-3;Hellas-Verona;automne;8.0;0;2;0;0.0;21.0;1.0;20.0;-2.1923076923076925;1.5384890798424635
133;2020-09-27;W;1;1;Home;1;47.0;24.7;3-4-3;2.0;17.2;69.5;17.0;13.0;20.679999999999982;8;9;3-5-2;Hellas-Verona;automne;14.0;0;1;0;0.0;22.0;0.0;12.0;-0.8798076923076923;1.5720103831006087
135;2020-10-19;D;0;1;Home;1;58.0;24.7;3-4-3;10.0;15.6;77.2;19.0;14.0;41.69999999999999;15;10;3-5-2;Hellas-Verona;automne;18.0;0;1;0;4.0;6.0;2.0;13.0;-1.7884615384615385;2.1591254923021843
136;2020-10-25;D;0;1;Away;0;38.0;24.7;3-4-3;2.0;15.6;73.3;7.0;19.0;-479.52;6;10;3-5-2;Hellas-Verona;automne;6.0;0;4;0;1.0;22.0;1.0;14.0;-3.0240384615384617;1.120748299319728
139;2020-11-08;D;0;1;Away;0;34.0;24.7;3-4-3;2.0;9.2;63.2;18.0;20.0;-383.97;6;11;4-5-1;Hellas-Verona;automne;7.0;0;3;0;1.0;33.0;1.0;16.0;-2.9278846153846154;1.5646034729681348
140;2020-11-22;L;0;0;Home;1;52.0;24.7;4-4-2;3.0;16.6;73.4;9.0;13.0;-88.02000000000002;14;11;4-5-1;Hellas-Verona;automne;19.0;0;1;0;3.0;11.0;1.0;20.0;-1.8076923076923077;2.502841926244182
142;2020-11-28;W;1;1;Away;0;42.0;24.7;3-4-3;1.0;30.3;73.3;20.0;15.0;-235.77;3;11;3-4-3;Hellas-Verona;automne;6.0;1;3;0;2.0;20.0;0.0;12.0;-0.6490384615384615;0.3159237379162192
143;2020-12-06;D;0;1;Home;1;52.0;24.7;3-4-3;3.0;11.2;78.0;4.0;11.0;28.449999999999992;8;12;4-5-1;Hellas-Verona;reste;18.0;0;2;0;0.0;13.0;0.0;14.0;-1.1923076923076923;2.340852130325815
144;2020-12-12;W;1;1;Away;0;41.0;24.7;4-5-1;4.0;13.9;71.7;15.0;15.0;-101.50000000000004;6;12;3-5-2;Hellas-Verona;reste;7.0;0;3;0;5.0;12.0;0.0;13.0;-0.5336538461538463;1.2601145721446474
145;2020-12-16;L;0;0;Home;1;55.0;24.7;3-4-3;2.0;21.7;72.6;12.0;20.0;34.42999999999998;4;12;4-5-1;Hellas-Verona;reste;7.0;1;2;1;4.0;11.0;0.0;17.0;-1.0144230769230769;1.3577694235588973
146;2020-12-19;D;0;1;Away;0;41.0;24.7;3-4-3;2.0;21.9;57.2;4.0;16.0;-162.82000000000005;3;12;3-6-1;Hellas-Verona;reste;5.0;1;2;0;2.0;9.0;1.0;11.0;-2.2548076923076925;0.6019513068385252
