;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
86;2022-04-27;W;1;1;Home;1;41.0;23.7;3-5-2;3.0;13.9;82.8;6.0;11.0;-372.34999999999997;3;4;3-5-2;Bologna;reste;5.0;0;1;0;3.0;26.0;0.0;9.0;Internazionale;365.976;442.0
87;2022-05-01;D;0;1;Away;0;57.0;23.7;3-5-2;4.0;15.6;80.3;7.0;9.0;-195.05;4;5;3-4-3;Bologna;reste;10.0;0;1;0;0.0;17.0;1.0;10.0;Roma;432.81699999999995;539.0
88;2022-05-08;L;0;0;Away;0;60.0;23.7;3-5-2;10.0;15.5;81.3;19.0;13.0;105.21999999999998;7;5;3-4-3;Bologna;reste;23.0;0;4;0;2.0;16.0;1.0;10.0;Venezia;409.75199999999995;504.0
89;2022-05-15;L;0;0;Home;1;55.0;23.7;3-5-2;1.0;15.9;81.1;9.0;9.0;-64.80000000000001;7;5;4-5-1;Bologna;reste;7.0;1;0;0;1.0;16.0;0.0;10.0;Sassuolo;403.06699999999995;497.0
90;2022-05-21;W;1;1;Away;0;50.0;23.7;3-5-2;4.0;12.4;71.9;10.0;10.0;64.91999999999999;6;5;4-5-1;Bologna;reste;11.0;0;1;0;3.0;18.0;1.0;17.0;Genoa;309.889;431.0
91;2021-08-15;W;1;1;Home;1;50.0;24.5;4-4-2;4.0;;;0.0;0.0;;10;8;<NA>-<NA>-<NA>;Empoli;reste;4.0;0;2;0;;;;;Vicenza Virtus;;
92;2021-08-21;L;0;0;Home;1;46.0;24.5;4-<NA>-<NA>;3.0;17.7;80.8;12.0;13.0;-137.98000000000002;6;8;4-3-3;Empoli;reste;16.0;0;2;0;1.0;7.0;1.0;10.0;Lazio;408.04;505.0
93;2021-08-28;W;1;1;Away;0;46.0;24.5;4-4-2;3.0;17.4;71.8;5.0;6.0;-516.0;7;8;4-4-2;Empoli;reste;11.0;0;3;0;2.0;18.0;0.0;10.0;Juventus;287.2;400.0
94;2021-09-11;L;0;0;Home;1;68.0;24.5;4-4-2;5.0;19.3;81.2;9.0;12.0;45.519999999999996;14;9;4-3-3;Empoli;automne;21.0;1;2;0;5.0;10.0;0.0;21.0;Venezia;500.19200000000006;616.0
95;2021-09-19;L;0;0;Home;1;54.0;24.5;4-4-2;4.0;19.5;73.8;9.0;10.0;-2.0500000000000114;8;9;4-4-2;Empoli;automne;15.0;0;2;0;2.0;14.0;0.0;10.0;Sampdoria;346.12199999999996;469.0
