;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Touches;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
231;Mathias Jensen;MF;Brentford;25;31.0;19;1601.0;17.8;0.0;1.0;0.0;0.0;0f134faf;Mathias JensenMFBrentford;19;5;26.3;574.0;795.0;72.2;66.0;33.0;18;34.9;32.0;3.0;29.0;22;55.0;13.0;0.0;968.0;62.5;26.0;15.0;19;3;79;30.4;;;;;
232;Gabriel Jesus;FW;Manchester City;24;28.0;21;1877.0;20.9;8.0;8.0;1.0;0.0;b66315ae;Gabriel JesusFWManchester City;63;20;31.7;637.0;770.0;82.7;85.0;18.0;12;23.1;18.0;0.0;18.0;15;33.0;8.0;0.0;1023.0;64.8;66.0;27.0;26;10;24;36.8;;;;;
233;Raúl Jiménez;FW;Wolves;30;34.0;30;2631.0;29.2;6.0;4.0;9.0;2.0;b561db50;Raúl JiménezFWWolves;56;15;26.8;549.0;775.0;70.8;71.0;29.0;14;20.0;31.0;5.0;26.0;13;42.0;26.0;0.0;1150.0;41.4;99.0;57.0;43;23;10;42.6;;;;;
234;João Pedro;MF;Watford;19;28.0;15;1644.0;18.3;3.0;1.0;1.0;0.0;e8832875;João PedroFWMFWatford;47;16;34.0;390.0;581.0;67.1;60.0;20.0;14;26.1;23.0;3.0;20.0;15;35.0;17.0;0.0;885.0;58.5;63.0;58.0;13;6;24;37.9;;;;;
235;Joelinton;MF;Newcastle Utd;24;35.0;30;2558.0;28.4;4.0;1.0;8.0;0.0;c17bfb65;JoelintonMFFWNewcastle Utd;45;14;31.1;718.0;944.0;76.1;67.0;72.0;38;42.6;46.0;11.0;35.0;34;106.0;50.0;2.0;1395.0;52.9;85.0;60.0;64;3;22;50.5;;;;;
236;Ben Johnson;DF;West Ham;21;20.0;16;1397.0;15.5;1.0;0.0;1.0;0.0;9319781b;Ben JohnsonDFWest Ham;5;1;20.0;519.0;763.0;68.0;24.0;33.0;16;75.0;16.0;8.0;8.0;22;55.0;55.0;0.0;952.0;70.0;23.0;9.0;10;0;55;44.1;;;;;
237;Curtis Jones;MF;Liverpool;20;15.0;10;851.0;9.5;1.0;1.0;0.0;0.0;4fb9c88f;Curtis JonesMFLiverpool;20;7;35.0;538.0;599.0;89.8;28.0;11.0;9;10.0;4.0;0.0;4.0;6;17.0;4.0;0.0;685.0;75.8;17.0;18.0;11;1;6;50.0;;;;;
238;Phil Jones;DF;Manchester Utd;29;4.0;2;163.0;1.8;0.0;0.0;0.0;0.0;def899bd;Phil JonesDFManchester Utd;0;0;;71.0;81.0;87.7;1.0;5.0;5;66.7;4.0;4.0;0.0;3;8.0;8.0;0.0;101.0;100.0;1.0;0.0;0;0;0;100.0;;;;;
239;Jorginho;DM;Chelsea;29;29.0;26;2273.0;25.3;6.0;2.0;5.0;0.0;45db685d;JorginhoMFChelsea;9;2;22.2;1681.0;1887.0;89.1;70.0;64.0;33;34.9;27.0;4.0;23.0;36;100.0;21.0;1.0;2106.0;76.2;22.0;19.0;30;0;3;33.3;;;;Jorginho;1.0
240;Diogo Jota;FW;Liverpool;24;35.0;27;2364.0;26.3;15.0;4.0;3.0;0.0;178ae8f8;Diogo JotaFWLiverpool;90;32;35.6;559.0;770.0;72.6;98.0;39.0;18;23.6;19.0;2.0;17.0;6;45.0;6.0;0.0;1097.0;39.1;63.0;33.0;41;5;21;30.8;;;;;
241;James Justin;DF;Leicester City;23;13.0;11;998.0;11.1;0.0;0.0;0.0;0.0;fb614c44;James JustinDFLeicester City;5;1;20.0;540.0;677.0;79.8;17.0;22.0;13;46.7;16.0;4.0;12.0;17;39.0;34.0;0.0;798.0;33.3;5.0;10.0;7;1;15;44.8;;;;;
242;Mathias Jørgensen;DF;Brentford;31;8.0;6;518.0;5.8;1.0;0.0;2.0;0.0;0db5d2c8;Mathias JørgensenDFBrentford;2;1;50.0;258.0;337.0;76.6;7.0;10.0;4;70.0;6.0;1.0;5.0;10;20.0;13.0;0.0;388.0;0.0;1.0;3.0;10;0;7;52.6;;;;;
