Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Christian Kouamé,FW,Fiorentina,22,11.1,17,6,35.3,58e933d2
Kalidou Koulibaly,DF,Napoli,29,24.5,11,2,18.2,da974c7b
Viktor Kovalenko,FW,Atalanta,24,0.0,0,0,,9d60028d
Rade Krunić,MFFW,Milan,26,8.0,8,5,62.5,817c6964
Juraj Kucka,MFFW,Parma,33,25.9,56,15,26.8,5aaef9ef
Dejan Kulusevski,MFFW,Juventus,20,21.4,34,7,20.6,df3cda47
Marash Kumbulla,DF,Roma,20,15.1,6,2,33.3,a40819d9
Jasmin Kurtić,MF,Parma,31,30.4,35,10,28.6,144607cc
Giorgos Kyriakopoulos,DF,Sassuolo,24,16.2,24,13,54.2,0a483542
Antonino La Gumina,FW,Sampdoria,24,3.8,11,1,9.1,822a7761
Sam Lammers,FWMF,Atalanta,23,3.2,9,4,44.4,c283ddef
Gianluca Lapadula,FW,Benevento,30,28.5,75,28,37.3,2ead2809
Danilo Larangeira,DF,Bologna,36,34.8,16,2,12.5,fed5f993
Kevin Lasagna,FW,Udinese,27,12.3,41,12,29.3,09538fdb
Kevin Lasagna,FW,Hellas Verona,27,14.1,30,6,20.0,09538fdb
Vincent Laurini,DF,Parma,31,9.7,1,0,0.0,3535098b
Darko Lazović,DFMF,Hellas Verona,29,27.8,32,11,34.4,5128bde4
Manuel Lazzari,DF,Lazio,26,29.0,24,6,25.0,02caf6e0
Rafael Leão,FW,Milan,21,21.4,43,20,46.5,20730eae
Lucas Leiva,MF,Lazio,33,23.7,12,3,25.0,4c78b5ed
Lukas Lerager,MF,Genoa,27,12.9,4,2,50.0,1b82f8df
Mehdi Léris,DFMF,Sampdoria,22,4.3,2,1,50.0,7d3cbc67
Karlo Letica,GK,Sampdoria,23,1.0,0,0,,4a6914ff
Gaetano Letizia,DF,Benevento,30,17.4,13,7,53.8,3dd45b70
Matthijs de Ligt,DF,Juventus,20,24.7,19,6,31.6,d6e53a3a
