Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Roger Ibanez,DF,Roma,21,59,37,55.6,38,17,21,68,127,78,3,82efe6fa
Zlatan Ibrahimović,FW,Milan,38,5,4,50.0,5,3,2,6,11,27,1,4cde5509
Igor,DF,Fiorentina,22,15,9,58.3,17,9,8,23,38,34,0,a4e85758
Ivan Ilić,MF,Hellas Verona,19,26,14,33.3,17,5,12,27,53,26,0,bb376bed
Josip Iličić,MFFW,Atalanta,32,9,4,23.8,12,0,12,2,11,0,1,68252d6d
Ciro Immobile,FW,Lazio,30,14,13,31.8,13,1,12,6,20,9,0,4431aed2
Riccardo Improta,DFMF,Benevento,26,39,23,46.7,23,4,19,28,67,47,0,f6dfa5b8
Roberto Inglese,FW,Parma,28,5,2,18.2,10,0,10,0,5,3,0,6c1f7328
Lorenzo Insigne,FW,Napoli,29,26,18,18.1,30,1,29,37,63,6,1,2f557579
Roberto Insigne,MFFW,Benevento,26,16,10,25.9,10,0,10,7,23,9,0,8faf7b3c
Artur Ioniță,MF,Benevento,29,47,22,27.0,38,14,24,19,66,28,0,cedb3e36
Ardian Ismajli,DF,Spezia,23,19,9,61.5,10,7,3,23,42,52,1,6b635f5c
Armando Izzo,DF,Torino,28,30,16,39.4,22,9,13,53,83,62,0,89976232
Mato Jajalo,MF,Udinese,32,1,1,100.0,1,0,1,2,3,0,0,8c65eb5f
Jakub Jankto,MF,Sampdoria,24,28,17,31.4,16,1,15,24,52,34,0,1ea5f91c
Juan Jesus,DF,Roma,29,3,1,50.0,1,0,1,2,5,5,0,79083382
Hamed Junior Traorè,MFFW,Sassuolo,20,29,17,40.0,27,3,24,18,47,9,0,570bb4b9
Musa Juwara,MFDF,Bologna,18,2,2,33.3,1,0,1,0,2,0,0,7737dee2
Nikola Kalinić,FW,Hellas Verona,32,5,1,0.0,6,0,6,1,6,7,0,d4931a5a
Yayah Kallon,FW,Genoa,19,0,0,,0,0,0,0,0,0,0,f95f49d2
Pierre Kalulu,DF,Milan,20,18,14,71.4,9,3,6,19,37,20,0,85f7d1be
Yann Karamoh,FWMF,Parma,22,27,17,35.5,6,0,6,4,31,11,0,8b66d9cc
Isaac Karamoko,DF,Sassuolo,18,1,0,100.0,0,0,0,0,1,0,0,4c7919df
Augustus Kargbo,FW,Crotone,20,0,0,,0,0,0,0,0,0,0,0c8f27b5
Rick Karsdorp,DF,Roma,25,36,23,43.8,18,1,17,30,66,32,0,9f84febe
Franck Kessié,MF,Milan,23,53,30,52.6,47,15,32,46,99,51,0,05e19d6a
Omar Khailoti,DF,Bologna,18,0,0,,2,0,2,1,1,0,0,19d1c41f
Simon Kjær,DF,Milan,31,45,26,60.0,42,26,16,42,87,125,0,8b8a56ce
Ragnar Klavan,DF,Cagliari,34,15,9,63.6,9,4,5,8,23,34,0,008a6e6d
Justin Kluivert,MF,Roma,21,0,0,,0,0,0,0,0,0,0,4c3a6744
Aleksandr Kokorin,FWMF,Fiorentina,29,1,0,0.0,1,0,1,0,1,0,0,fec5accc
Aleksandar Kolarov,DF,Inter,34,4,4,50.0,2,0,2,7,11,8,0,eda40760
Márk Kosznovszky,MF,Parma,18,2,2,25.0,2,0,2,1,3,1,0,185bf610
Christian Kouamé,FW,Fiorentina,22,9,4,33.3,9,1,8,5,14,4,0,58e933d2
Kalidou Koulibaly,DF,Napoli,29,36,24,59.4,46,26,20,29,65,64,2,da974c7b
Viktor Kovalenko,FW,Atalanta,24,0,0,,0,0,0,0,0,1,0,9d60028d
Rade Krunić,MFFW,Milan,26,15,12,41.2,12,2,10,10,25,9,0,817c6964
Juraj Kucka,MFFW,Parma,33,67,36,35.1,25,3,22,28,95,25,0,5aaef9ef
