Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Kelechi Iheanacho,FW,Leicester City,24,14.0,31,12,38.7,c92e1a31
Danny Ings,FW,Aston Villa,29,21.1,48,17,35.4,07802f7f
Tim Iroegbunam,MF,Aston Villa,18,1.0,1,0,0.0,84c5ceea
Alex Iwobi,MFDF,Everton,25,22.6,24,6,25.0,6ca5ec4b
Daniel James,FW,Manchester Utd,23,1.4,4,1,25.0,c931d9f9
Daniel James,FWMF,Leeds United,23,26.3,50,15,30.0,c931d9f9
Reece James,DF,Chelsea,21,20.7,37,10,27.0,1265a93a
Vitaly Janelt,MF,Brentford,23,25.5,30,12,40.0,8449d35e
Pontus Jansson,DF,Brentford,30,36.9,22,10,45.5,172e52d8
Mathias Jensen,MF,Brentford,25,17.8,19,5,26.3,0f134faf
Gabriel Jesus,FW,Manchester City,24,20.9,63,20,31.7,b66315ae
Raúl Jiménez,FW,Wolves,30,29.2,56,15,26.8,b561db50
João Pedro,FWMF,Watford,19,18.3,47,16,34.0,e8832875
Joelinton,MFFW,Newcastle Utd,24,28.4,45,14,31.1,c17bfb65
Ben Johnson,DF,West Ham,21,15.5,5,1,20.0,9319781b
Curtis Jones,MF,Liverpool,20,9.5,20,7,35.0,4fb9c88f
Phil Jones,DF,Manchester Utd,29,1.8,0,0,,def899bd
Jorginho,MF,Chelsea,29,25.3,9,2,22.2,45db685d
Diogo Jota,FW,Liverpool,24,26.3,90,32,35.6,178ae8f8
James Justin,DF,Leicester City,23,11.1,5,1,20.0,fb614c44
Mathias Jørgensen,DF,Brentford,31,5.8,2,1,50.0,0db5d2c8
Ozan Kabak,DF,Norwich City,21,10.2,4,2,50.0,2d61d13a
Christian Kabasele,DF,Watford,30,13.3,7,0,0.0,914ab9a1
Samuel Kalu,FW,Watford,23,2.5,4,1,25.0,b8d22478
Hassane Kamara,DF,Watford,27,18.0,5,1,20.0,19a12bed
Harry Kane,FW,Tottenham,28,35.9,129,49,38.0,21a66f6a
N'Golo Kanté,MF,Chelsea,30,19.7,17,9,52.9,b9fbae28
Edo Kayembe,MF,Watford,23,8.9,6,0,0.0,f99b71de
Moise Kean,FW,Everton,21,0.0,0,0,,3d50bcdb
Michael Keane,DF,Everton,28,31.0,20,6,30.0,c5b7c315
Naby Keïta,MF,Liverpool,26,13.0,26,7,26.9,f25c8e3a
Caoimhín Kelleher,GK,Liverpool,22,2.0,0,0,,62d7ef38
Kenedy,DF,Chelsea,25,0.6,1,0,0.0,5eebbfdf
Jonjoe Kenny,DF,Everton,24,11.3,5,0,0.0,099e666f
Max Kilman,DF,Wolves,24,29.9,13,4,30.8,d0f72bf1
Joshua King,FW,Watford,29,25.0,49,16,32.7,43458538
Kristoffer Klaesson,GK,Leeds United,20,0.4,0,0,,3f70db80
Mateusz Klich,MF,Leeds United,31,23.0,42,18,42.9,282679b4
Robin Koch,MFDF,Leeds United,25,17.5,13,1,7.7,ea6bc03a
Sead Kolašinac,DF,Arsenal,28,1.0,0,0,,3935e52e
Ibrahima Konaté,DF,Liverpool,22,11.0,4,0,0.0,5ed9b537
Ezri Konsa,DF,Aston Villa,23,27.5,15,6,40.0,0313a347
Cheikhou Kouyaté,MF,Crystal Palace,31,21.9,7,0,0.0,8d3c902d
Mateo Kovačić,MF,Chelsea,27,17.3,22,6,27.3,79c0821a
Emil Krafth,DF,Newcastle Utd,26,18.2,6,1,16.7,77cf6852
Alex Král,MF,West Ham,23,0.0,0,0,,e717705a
Tim Krul,GK,Norwich City,33,29.0,0,0,,f23f9d20
Juraj Kucka,MF,Watford,34,21.3,46,11,23.9,5aaef9ef
Dejan Kulusevski,MFFW,Tottenham,21,14.0,26,9,34.6,df3cda47
Alexandre Lacazette,FW,Arsenal,30,19.8,43,12,27.9,9dbb75ca
Adam Lallana,MF,Brighton,33,17.3,19,4,21.1,99813635
Tariq Lamptey,DFFW,Brighton,20,17.3,19,4,21.1,f4e433d4
Manuel Lanzini,MFFW,West Ham,28,19.8,13,4,30.8,26f6dca8
Aymeric Laporte,DF,Manchester City,27,31.4,35,7,20.0,119b9a8e
Jamaal Lascelles,DF,Newcastle Utd,27,22.9,17,4,23.5,450ab6fc
Pierre Lees-Melou,MF,Norwich City,28,25.2,33,9,27.3,f5044e54
Aaron Lennon,MFFW,Burnley,34,17.2,12,4,33.3,2ff964a0
Bernd Leno,GK,Arsenal,29,4.0,0,0,,2628fd2b
Jamal Lewis,DF,Newcastle Utd,23,2.9,0,0,,efb9215a
Victor Lindelöf,DF,Manchester Utd,27,26.2,3,2,66.7,f5deef4c
Jesse Lingard,FWMF,Manchester Utd,28,4.1,8,6,75.0,810e3c74
Valentino Livramento,DF,Southampton,18,24.5,12,3,25.0,afed6722
Diego Llorente,DF,Leeds United,27,26.0,10,3,30.0,bba30585
Hugo Lloris,GK,Tottenham,34,38.0,0,0,,8f62b6ee
Giovani Lo Celso,MFFW,Tottenham,25,2.6,9,0,0.0,d7553721
Jürgen Locadia,MFFW,Brighton,27,0.3,1,0,0.0,6cc47ae1
Ruben Loftus-Cheek,MFDF,Chelsea,25,15.5,19,6,31.6,e97fd090
Kevin Long,DF,Burnley,30,4.6,4,0,0.0,5a4280b1
Shane Long,FW,Southampton,34,3.4,9,5,55.6,9f472354
Sean Longstaff,MF,Newcastle Utd,23,16.3,15,2,13.3,a2b105e0
Ademola Lookman,FWMF,Leicester City,23,16.1,26,12,46.2,7c104bb7
Jonas Lössl,GK,Brentford,32,2.0,0,0,,939bc634
Imran Louza,MF,Watford,22,15.7,17,4,23.5,e1df6989
Matthew Lowton,DF,Burnley,32,19.7,10,2,20.0,9a9c05db
Douglas Luiz,MF,Aston Villa,23,30.2,23,8,34.8,6f7d826d
Romelu Lukaku,FW,Chelsea,28,17.7,42,14,33.3,5eae500a
Lyanco,DF,Southampton,24,10.1,6,1,16.7,b5bf1770
Alexis Mac Allister,MFFW,Brighton,22,23.6,57,9,15.8,83d074ff
James Maddison,MFFW,Leicester City,24,27.3,72,33,45.8,ee38d9c5
Harry Maguire,DF,Manchester Utd,28,27.9,23,10,43.5,d8931174
Riyad Mahrez,FW,Manchester City,30,16.6,56,18,32.1,892d5bb1
Ainsley Maitland-Niles,MF,Arsenal,23,3.0,2,0,0.0,e3a5814e
Sadio Mané,FW,Liverpool,29,31.3,98,37,37.8,c691bfe2
Javier Manquillo,DF,Newcastle Utd,27,14.0,4,2,50.0,758dd7f0
Fernando Marçal,MFDF,Wolves,32,16.1,11,1,9.1,9ae9eaea
Solly March,DFFW,Brighton,27,19.4,20,10,50.0,bb5fbd2b
Pablo Marí,DF,Arsenal,27,2.0,1,0,0.0,aa54ec6f
Anthony Martial,FW,Manchester Utd,25,2.4,5,2,40.0,8b788c01
Martinelli,FWMF,Arsenal,20,20.7,51,15,29.4,48a5a5d6
Emiliano Martínez,GK,Aston Villa,28,36.0,0,0,,7956236f
Adam Masina,DF,Watford,27,12.0,5,0,0.0,de0f152c
Arthur Masuaku,DFFW,West Ham,27,7.2,4,1,25.0,57df7a11
Juan Mata,MF,Manchester Utd,33,2.6,5,1,20.0,29733c72
Jean-Philippe Mateta,FW,Crystal Palace,24,12.7,37,18,48.6,50e6dc35
Nemanja Matić,MF,Manchester Utd,32,15.4,6,1,16.7,eb7822d7
Joël Matip,DF,Liverpool,29,31.0,35,7,20.0,b217ef29
Neal Maupay,FW,Brighton,24,25.3,59,14,23.7,4bcf39f6
Bryan Mbeumo,FW,Brentford,21,32.3,76,19,25.0,6afaebf2
James McArthur,MF,Crystal Palace,33,16.0,9,3,33.3,cee31595
James Mcatee,MFFW,Manchester City,18,0.2,1,0,0.0,96593e89
Kasey McAteer,FW,Leicester City,19,0.0,0,0,,b2c66859
Liam McCarron,FW,Leeds United,20,0.1,0,0,,076bb352
Alex McCarthy,GK,Southampton,31,17.0,0,0,,36c2ca73
John McGinn,MF,Aston Villa,26,34.3,43,16,37.2,90f91999
Stuart McKinstry,MF,Leeds United,18,0.0,0,0,,1000a059
Kenny McLean,MF,Norwich City,29,30.1,33,6,18.2,471f16b3
Dwight McNeil,MF,Burnley,21,34.5,52,15,28.8,fc15fb84
Scott McTominay,MF,Manchester Utd,24,26.5,27,7,25.9,d93c2511
Ben Mee,DF,Burnley,31,20.4,19,4,21.1,8df7a2fb
Hannibal Mejbri,FW,Manchester Utd,18,0.8,1,1,100.0,ca22ccb0
Benjamin Mendy,DF,Manchester City,27,0.9,0,0,,5271c8f1
Edouard Mendy,GK,Chelsea,29,34.0,0,0,,33887998
Nampalys Mendy,MF,Leicester City,29,11.5,1,1,100.0,1598599e
Illan Meslier,GK,Leeds United,21,37.6,0,0,,6b625ac2
Luka Milivojević,MF,Crystal Palace,30,8.6,8,0,0.0,2ce2508a
James Milner,MFDF,Liverpool,35,9.5,10,2,20.0,2f90f6b8
Yerry Mina,DF,Everton,26,9.4,6,2,33.3,6d5701f2
Takumi Minamino,FWMF,Liverpool,26,2.1,7,4,57.1,f833a830
Tyrone Mings,DF,Aston Villa,28,35.4,21,5,23.8,8397a50c
Tyrick Mitchell,DF,Crystal Palace,21,34.5,4,0,0.0,5cbd1eb0
Jakub Moder,MF,Brighton,22,18.9,28,6,21.4,f230bc30
Wesley Moraes,FW,Aston Villa,24,0.0,0,0,,bfae110f
Tyler Morton,MF,Liverpool,18,0.7,0,0,,2bc28bb9
Mason Mount,MF,Chelsea,22,26.3,75,27,36.0,9674002f
Lucas Moura,FWMF,Tottenham,28,19.7,37,11,29.7,2b622f01
João Moutinho,MF,Wolves,34,33.0,20,7,35.0,f5a00fa4
Bali Mumba,DF,Norwich City,19,0.5,0,0,,2d760d7b
Jacob Murphy,FWDF,Newcastle Utd,26,16.4,27,5,18.5,de112b84
Enock Mwepu,MF,Brighton,23,11.1,19,8,42.1,1d5cab82
Vitaliy Mykolenko,DF,Everton,22,11.7,8,2,25.0,30d4a2e5
Marvelous Nakamba,MF,Aston Villa,27,10.0,0,0,,de5b5570
Wilfred Ndidi,MFDF,Leicester City,24,18.0,14,4,28.6,6b47c5db
Tanguy Ndombele,MF,Tottenham,24,5.4,9,3,33.3,5cdddffa
Reiss Nelson,FW,Arsenal,21,0.2,1,0,0.0,c5bdb6e3
Pedro Neto,FWMF,Wolves,21,5.2,17,4,23.5,7ba2eaa9
