Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Martin Dúbravka,GK,Newcastle Utd,32,1,0,0,0,6,0,0,0,1,0,0,0,19,4,1,80.0,3a949a25
Shane Duffy,DF,Brighton,29,7,0,0,15,5,1,1,16,12,0,0,0,68,65,26,71.4,7314bba4
Paul Dummett,DF,Newcastle Utd,29,2,0,0,3,3,0,3,3,3,0,0,0,5,5,2,71.4,3fe6bd8c
Lewis Dunk,DF,Brighton,29,3,1,0,9,4,0,3,27,8,0,0,0,170,81,37,68.6,282f75f3
Ederson,GK,Manchester City,27,3,0,0,1,4,0,0,0,1,0,1,0,43,10,3,76.9,3bb7b8b4
Odsonne Édouard,FW,Crystal Palace,23,4,0,0,25,6,4,7,0,10,0,0,0,62,38,45,45.8,0562b7f1
CJ Egan-Riley,DF,Manchester City,18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,d313e8ff
Anthony Elanga,FW,Manchester Utd,19,0,0,0,8,22,3,21,9,20,0,0,0,50,24,18,57.1,2fba6108
Harvey Elliott,MF,Liverpool,18,0,0,0,2,6,0,10,4,0,0,0,0,31,2,2,50.0,c8387671
Mohamed Elneny,MF,Arsenal,29,1,0,0,5,5,0,0,14,8,0,0,0,51,6,6,50.0,47a34c4f
Mohamed Elyounoussi,MFFW,Southampton,26,4,0,0,28,18,1,29,12,17,0,0,0,82,38,46,45.2,68dc0dac
Emerson,DFMF,Tottenham,22,5,0,0,28,45,2,74,22,47,0,0,0,152,33,42,44.0,df8b52a5
Christian Eriksen,MF,Brentford,29,1,0,0,5,3,0,86,9,6,0,0,0,69,5,6,45.5,980522ec
Oghenekaro Etebo,MF,Watford,25,3,0,0,8,3,0,2,5,8,0,0,0,31,3,1,75.0,b579e83d
Jonny Evans,DF,Leicester City,33,3,0,0,15,11,0,3,20,14,0,0,0,105,48,17,73.8,f8fcd2a5
Eberechi Eze,MFFW,Crystal Palace,23,1,0,0,5,12,0,27,5,6,0,0,0,38,7,13,35.0,ae4fc6a4
Łukasz Fabiański,GK,West Ham,36,2,0,0,1,7,0,0,0,0,0,1,0,21,11,0,100.0,9328b835
Fabinho,MF,Liverpool,27,7,0,0,40,28,0,6,39,25,0,0,0,193,43,24,64.2,7f3b388c
Kiko Femenía,DF,Watford,30,2,0,0,12,13,2,106,37,22,0,0,0,135,12,14,46.2,e5d01ecf
Evan Ferguson,MF,Brighton,16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0.0,4596da74
Nathan Ferguson,DF,Crystal Palace,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2f8d27bc
Bruno Fernandes,MF,Manchester Utd,26,10,0,0,33,47,3,148,17,28,0,0,0,180,19,30,38.8,507c7bdf
Álvaro Fernández,GK,Brentford,23,0,0,0,0,3,0,0,0,0,0,0,1,18,2,2,50.0,f127d782
Federico Fernández,DF,Newcastle Utd,32,0,0,0,1,2,0,1,4,0,0,0,0,24,10,5,66.7,f25b010f
Fernandinho,MFDF,Manchester City,36,1,0,0,14,10,0,2,8,10,0,0,0,85,22,15,59.5,101da2b5
Roberto Firmino,FW,Liverpool,29,3,0,0,7,6,3,8,4,14,0,0,0,53,14,27,34.1,4c370d81
Junior Firpo,DFMF,Leeds United,24,11,0,0,39,15,1,26,24,29,0,0,1,89,27,19,58.7,24f59bb2
Ashley Fletcher,FW,Watford,25,0,0,0,1,0,0,1,0,1,0,0,0,2,1,7,12.5,eeb6551f
Phil Foden,FW,Manchester City,21,1,0,0,15,23,14,132,11,8,0,0,0,83,5,27,15.6,ed1e53f3
Wesley Fofana,DF,Leicester City,20,2,0,0,7,7,0,0,12,8,0,0,0,43,20,10,66.7,132a82f1
Pablo Fornals,FWMF,West Ham,25,4,0,0,24,28,6,87,27,28,1,0,0,182,23,30,43.4,82927de4
Adam Forshaw,MF,Leeds United,29,5,0,0,26,15,2,5,19,23,0,0,0,119,11,11,50.0,9f1938ab
Marcus Forss,FWMF,Brentford,22,0,0,0,3,1,0,1,1,3,0,0,0,4,2,7,22.2,82c215a0
Fraser Forster,GK,Southampton,33,1,0,0,0,3,0,0,0,0,0,0,0,7,7,0,100.0,c3e39f12
Ben Foster,GK,Watford,38,0,0,0,1,4,0,0,0,0,0,1,0,54,5,3,62.5,d0b3ceb9
Tariqe Fosu,DF,Brentford,25,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,3dcef539
Ryan Fraser,FWMF,Newcastle Utd,27,3,0,0,10,24,2,88,11,3,0,0,0,61,5,22,18.5,d56543a0
Fred,MF,Manchester Utd,28,5,0,0,31,30,0,3,32,27,1,0,1,197,15,13,53.6,b853e0ad
Ryan Fredericks,DF,West Ham,28,1,0,0,3,1,0,9,4,2,0,0,0,11,3,2,60.0,c067631c
Leo Fuhr Hjelde,MFDF,Leeds United,17,0,0,0,1,0,0,3,4,4,0,0,0,9,3,2,60.0,d102b8a2
Conor Gallagher,MF,Crystal Palace,21,10,0,0,65,65,2,128,29,38,1,0,0,187,23,37,38.3,c2731c10
Alejandro Garnacho,FWMF,Manchester Utd,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,7aa8adfe
Dwight Gayle,FWDF,Newcastle Utd,30,1,0,0,2,2,0,0,1,0,0,0,0,2,1,1,50.0,e58a03c6
Jean-Philippe Gbamin,MF,Everton,25,0,0,0,0,1,0,0,1,1,0,0,0,4,1,0,100.0,6bd603db
David de Gea,GK,Manchester Utd,30,0,0,0,0,1,0,0,0,0,0,0,0,30,8,0,100.0,7ba6d84e
Joe Gelhardt,FWMF,Leeds United,19,4,0,0,17,24,5,3,0,3,2,0,0,30,11,21,34.4,01962d0d
Anwar El Ghazi,FWMF,Aston Villa,26,2,0,0,8,5,2,14,1,4,0,0,0,20,10,11,47.6,ffa90327
Anwar El Ghazi,FWMF,Everton,26,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0.0,ffa90327
Saman Ghoddos,MFDF,Brentford,27,2,0,0,12,10,0,21,3,10,1,0,0,36,11,15,42.3,f7b1d4e0
Dimitris Giannoulis,DF,Norwich City,25,2,0,0,16,22,0,44,19,21,0,0,0,105,8,7,53.3,112c495e
Morgan Gibbs-White,DFFW,Wolves,21,1,0,0,2,0,0,1,0,0,0,0,0,2,0,2,0.0,32f60ed8
Ben Gibson,DF,Norwich City,28,5,1,1,12,9,0,1,27,16,0,3,0,108,52,39,57.1,bcfb0142
Billy Gilmour,MF,Norwich City,20,2,0,0,28,21,1,98,17,21,0,1,0,124,13,20,39.4,df10e27c
Ben Godfrey,DF,Everton,23,6,0,0,17,12,0,12,15,32,0,0,0,94,36,43,45.6,9f7c837d
