Player,Pos,Squad,Age,SCA,-9999
Giorgos Kyriakopoulos,DFFW,Sassuolo,25,65,0a483542
Andrea La Mantia,FWMF,Empoli,30,13,c375dfa5
Sam Lammers,FWMF,Atalanta,24,0,c283ddef
Kevin Lasagna,MFFW,Hellas Verona,28,36,09538fdb
Darko Lazović,DF,Hellas Verona,30,90,5128bde4
Manuel Lazzari,DF,Lazio,27,34,02caf6e0
Patrick Leal,FW,Venezia,18,0,d97ec0d1
Rafael Leão,FW,Milan,22,113,20730eae
Lucas Leiva,MF,Lazio,34,21,4c78b5ed
Luca Lezzerini,GK,Venezia,26,1,c9c32262
Ben Lhassine Kone,MF,Torino,21,2,7452c7a8
Matthijs de Ligt,DF,Juventus,21,22,d6e53a3a
Anderson Lima,MF,Lazio,21,1,59be3a74
Karol Linetty,MFFW,Torino,26,33,d023d70f
Stanislav Lobotka,MF,Napoli,26,38,e1cbb531
Manuel Locatelli,MF,Juventus,23,56,a8a874f1
Maxime Lopez,MF,Sassuolo,23,107,20094685
Matteo Lovato,DF,Atalanta,21,4,5fa57166
Matteo Lovato,DF,Cagliari,21,4,5fa57166
Hirving Lozano,FW,Napoli,26,65,a69e4806
José Luis Palomino,DF,Atalanta,31,20,921f6058
Saša Lukić,MF,Torino,24,80,c6e8cf1f
Sebastiano Luperto,DF,Empoli,24,17,997fff07
Charalambos Lykogiannis,DFFW,Cagliari,27,27,5efc5389
Niki Mäenpää,GK,Venezia,36,1,14a96e1c
Giulio Maggiore,MF,Spezia,23,73,957e4c87
Francesco Magnanelli,MF,Sassuolo,36,2,07767f42
Giangiacomo Magnani,DF,Hellas Verona,25,0,cce9f582
Giangiacomo Magnani,DF,Sampdoria,25,1,cce9f582
Mike Maignan,GK,Milan,26,9,fcb38f57
Ainsley Maitland-Niles,DF,Roma,23,15,e3a5814e
Jean-Victor Makengo,MF,Udinese,23,59,22bfb57e
Nikola Maksimović,DF,Genoa,29,4,16b9d5cf
Kévin Malcuit,DFMF,Napoli,30,4,d6a889ea
Daniel Maldini,MF,Milan,19,1,801831fe
