Player,Pos,Squad,Age,Touches,Att,Succ,Succ%,Mis,Dis,-9999
Sam Lammers,FW,Sampdoria,25-331,267,21,11,52.4,31,12,c283ddef
Sam Lammers,FW,Empoli,25-331,358,23,10,43.5,37,14,c283ddef
Kevin Lasagna,FWMF,Hellas Verona,30-229,410,31,9,29.0,44,33,09538fdb
Armand Lauriente,FW,Sassuolo,24-113,827,101,46,45.5,40,42,2d22cea7
Valentino Lazaro,DF,Torino,27-003,785,28,14,50.0,15,4,016ff750
Marko Lazetić,FW,Milan,19-064,4,0,0,,1,2,93088fbb
Darko Lazović,MFDF,Hellas Verona,32-193,854,44,15,34.1,31,10,5128bde4
Manuel Lazzari,DF,Lazio,29-118,994,22,7,31.8,17,3,02caf6e0
Rafael Leão,FWMF,Milan,23-290,832,116,56,48.3,47,31,20730eae
Mehdi Léris,MFDF,Sampdoria,24-308,943,50,20,40.0,59,35,7d3cbc67
Karol Linetty,MF,Torino,28-053,985,17,5,29.4,22,10,d023d70f
Marcin Listkowski,MFFW,Lecce,25-045,34,0,0,,1,1,a3695ac2
Diego Llorente,DF,Roma,29-223,11,0,0,,0,0,bba30585
Stanislav Lobotka,MF,Napoli,28-122,1837,17,11,64.7,18,10,e1cbb531
Manuel Locatelli,MF,Juventus,25-078,1240,20,11,55.0,23,16,a8a874f1
Luka Lochoshvili,DF,Cremonese,24-302,684,7,5,71.4,8,4,c8ad0857
Ademola Lookman,FWMF,Atalanta,25-158,770,70,32,45.7,43,45,7c104bb7
Maxime Lopez,MF,Sassuolo,25-113,1162,17,6,35.3,11,10,20094685
Matteo Lovato,DF,Salernitana,23-041,249,0,0,,3,3,5fa57166
Sandi Lovrić,MF,Udinese,24-364,855,28,12,42.9,38,11,966eea58
Hirving Lozano,FW,Napoli,27-240,619,60,34,56.7,35,10,a69e4806
Jhon Lucumí,DF,Bologna,24-274,1482,3,3,100.0,10,5,80490d7f
José Luis Palomino,DF,Atalanta,33-081,430,3,2,66.7,2,1,921f6058
Romelu Lukaku,FW,Inter,29-318,262,9,2,22.2,21,12,5eae500a
Saša Lukić,MF,Torino,26-226,850,7,1,14.3,17,8,c6e8cf1f
Sebastiano Luperto,DF,Empoli,26-202,1409,2,2,100.0,4,3,997fff07
Charalambos Lykogiannis,DF,Bologna,29-156,800,11,4,36.4,9,1,5efc5389
Giulio Maggiore,MF,Salernitana,25-015,479,2,0,0.0,15,3,957e4c87
Giangiacomo Magnani,DF,Hellas Verona,27-174,376,1,1,100.0,4,2,cce9f582
Mike Maignan,GK,Milan,27-267,419,0,0,,0,0,fcb38f57
Jordan Majchrzak,FW,Roma,18-170,4,0,0,,0,0,2e7dafe5
Jean-Victor Makengo,MF,Udinese,24-288,393,15,11,73.3,15,11,22bfb57e
Lorenzo Malagrida,DFMF,Sampdoria,19-154,23,1,1,100.0,0,1,2bffcbf2
Daniel Maldini,FWMF,Spezia,21-167,214,21,12,57.1,20,5,801831fe
Youssef Maleh,MF,Fiorentina,24-217,150,3,1,33.3,6,6,4c8845f7
Youssef Maleh,MF,Lecce,24-217,188,6,1,16.7,4,7,4c8845f7
Ruslan Malinovskyi,MFFW,Atalanta,29-327,425,21,9,42.9,21,9,48d5bd33
Gianluca Mancini,DF,Roma,26-344,1428,9,4,44.4,11,6,5aa53281
Rolando Mandragora,MF,Fiorentina,25-271,844,10,2,20.0,12,6,c7259b83
Federico Marchetti,GK,Spezia,40-048,18,0,0,,0,0,f794b426
Riccardo Marchizza,DF,Sassuolo,25-001,131,4,1,25.0,2,2,91d0fabf
Gian Marco Ferrari,DF,Sassuolo,31-040,1069,2,0,0.0,7,1,8650af85
Pablo Marí,DF,Monza,29-208,1236,3,2,66.7,5,3,aa54ec6f
