Player,Pos,Squad,Age,SCA,-9999
Jordan Pickford,GK,Everton,27,13,4806ec67
Erik Pieters,DF,Burnley,32,12,1ef37668
Ethan Pinnock,DF,Brentford,28,31,e541326e
Daniel Podence,FWMF,Wolves,25,66,7fcc71d8
Paul Pogba,MFFW,Manchester Utd,28,57,867239d3
Nick Pope,GK,Burnley,29,8,4b40d9ca
Isaac Price,MF,Everton,17,0,b9403c99
Teemu Pukki,FW,Norwich City,31,63,0745b37d
Christian Pulisic,MFFW,Chelsea,22,36,1bf33a9a
Przemysław Płacheta,FWMF,Norwich City,23,16,3c33f9d9
Jesuran Rak Sakyi,FWMF,Crystal Palace,18,0,45685411
Aaron Ramsdale,GK,Arsenal,23,2,466fb2c5
Jacob Ramsey,MF,Aston Villa,20,75,1544f145
Raphinha,FWMF,Leeds United,24,136,3423f250
Marcus Rashford,FWMF,Manchester Utd,23,27,a1d5bd30
Milot Rashica,FWMF,Norwich City,25,68,6c6a3300
David Raya,GK,Brentford,25,7,98ea5115
Nathan Redmond,MFFW,Southampton,27,73,ab651565
Sergio Reguilón,DFMF,Tottenham,24,58,3353737a
Declan Rice,MF,West Ham,22,78,1c7012b8
Taylor Richards,MF,Brighton,20,1,e0243d23
Richarlison,FW,Everton,24,69,fa031b34
Jaïro Riedewald,MF,Crystal Palace,24,4,7a1f2c08
Matt Ritchie,DF,Newcastle Utd,31,47,71ef519e
Connor Roberts,DF,Burnley,25,29,24fae784
Tyler Roberts,MFFW,Leeds United,22,30,6c17e046
Andrew Robertson,DF,Liverpool,27,112,2e4f5f03
Joe Rodon,DF,Tottenham,23,0,8d62d31a
Rodri,MF,Manchester City,25,93,6434f10d
Rodrigo,MFFW,Leeds United,30,80,1fb1c435
Jay Rodriguez,FW,Burnley,32,29,4ab53cdb
Mads Roerslev,DF,Brentford,22,15,57c94db2
Cristian Romero,DF,Tottenham,23,19,a3d94a58
Oriol Romeu,MF,Southampton,29,74,4b511457
Cristiano Ronaldo,FW,Manchester Utd,36,82,dea698d9
Salomón Rondón,FW,Everton,31,18,b318a643
Danny Rose,DF,Watford,31,15,89d10e53
Jon Rowe,FWMF,Norwich City,18,8,8c12f884
John Ruddy,GK,Wolves,34,0,da8b19e2
Antonio Rüdiger,DF,Chelsea,28,45,18b896d6
Lukas Rupp,MF,Norwich City,30,25,3faa1780
José Sá,GK,Wolves,28,4,903b6e8b
Allan Saint-Maximin,FWMF,Newcastle Utd,24,130,2b16cb1a
Romain Saïss,DF,Wolves,31,16,9fbbcf39
Bukayo Saka,FWMF,Arsenal,19,158,bc7dc64d
Mohamed Salah,FW,Liverpool,29,141,e342ad68
Mohammed Salisu,DF,Southampton,22,34,0b33f6ad
Albert Sambi Lokonga,MF,Arsenal,21,39,1b4f1169
Davinson Sánchez,DF,Tottenham,25,20,da7b447d
Robert Sánchez,GK,Brighton,23,5,6a713852
Jadon Sancho,FWMF,Manchester Utd,21,88,dbf053da
Morgan Sanson,MF,Aston Villa,26,2,6e7f1353
Samir Santos,DF,Watford,26,7,92b4758e
Josh Sargent,FWMF,Norwich City,21,25,a8d4428b
Jeremy Sarmiento,FWMF,Brighton,19,0,ac0d576d
Ismaila Sarr,FWMF,Watford,23,52,bfdb33aa
Malang Sarr,DF,Chelsea,22,6,4315f30d
Dane Scarlett,MF,Tottenham,17,0,21945a9e
Fabian Schär,DF,Newcastle Utd,29,31,c8aa95da
Jeffrey Schlupp,MFFW,Crystal Palace,28,46,3312f911
Kasper Schmeichel,GK,Leicester City,34,7,53af52f3
Ken Sema,MFFW,Watford,27,22,1770bd68
Nélson Semedo,MFDF,Wolves,27,44,d04b94db
Ryan Sessegnon,DFMF,Tottenham,21,20,6aa3e78b
Jamie Shackleton,DFMF,Leeds United,21,10,8d03ca5a
Luke Shaw,DF,Manchester Utd,26,69,9c94165b
Jonjo Shelvey,MF,Newcastle Utd,29,43,3727dd3c
Shola Shoretire,MF,Manchester Utd,17,0,00f0482f
Francisco Sierralta,DF,Watford,24,2,0f933743
Bernardo Silva,MFFW,Manchester City,26,137,3eb22ec9
Fábio Silva,FW,Wolves,19,16,e7aa9d7c
Thiago Silva,DF,Chelsea,36,33,86e7deaf
Ellis Simms,FW,Everton,20,1,26d3b5be
Moussa Sissoko,MF,Watford,31,75,2acd49b9
Oliver Skipp,MF,Tottenham,20,24,6250083a
William Smallbone,MFFW,Southampton,21,2,5e105217
Emile Smith Rowe,MFFW,Arsenal,21,67,17695062
Cédric Soares,DF,Arsenal,29,37,839c14e1
Tomáš Souček,MF,West Ham,26,42,6613c819
Boubakary Soumaré,MF,Leicester City,22,18,ae59b359
Çağlar Söyüncü,DF,Leicester City,25,14,21166ff4
Tony Springett,MFFW,Norwich City,18,3,35be8087
Jason Steele,GK,Brighton,30,0,28300a16
Jed Steer,GK,Aston Villa,28,0,a8a3d139
Zack Steffen,GK,Manchester City,26,0,42130443
Dale Stephens,MF,Burnley,32,1,653ee42d
Jack Stephens,DF,Southampton,27,6,6adbc307
Raheem Sterling,FW,Manchester City,26,93,b400bde0
Finley Stevens,DF,Brentford,18,1,7e003182
John Stones,DF,Manchester City,27,13,5eecec3d
Pascal Struijk,DFMF,Leeds United,21,21,f4d296e4
Crysencio Summerville,MFFW,Leeds United,19,3,df04eb4b
Jakob Sørensen,MFDF,Norwich City,23,5,953c30b0
Japhet Tanganga,DF,Tottenham,22,3,e9971f2d
Matt Targett,DF,Aston Villa,25,36,e514ab62
Matt Targett,DF,Newcastle Utd,25,44,e514ab62
James Tarkowski,DF,Burnley,28,28,15ea812b
Nuno Tavares,DF,Arsenal,21,27,a65c844b
